feature,importance,importance_pct,cumsum_pct
delta_rush_yds_recent_ratio,0.003591524500894828,0.35915245008948277,66.49868694573333
delta_opp_3d_conv_ema8,0.003581630688931805,0.3581630688931805,66.85685001462652
delta_opp_first_downs_pass_recent_ratio,0.003559896516243476,0.3559896516243476,67.21283966625086
delta_penalties_season_avg,0.0035387534324338565,0.35387534324338565,67.56671500949423
delta_ints_got_ema8,0.00352923342157499,0.352923342157499,67.91963835165174
delta_ints_thrown_trend8,0.00338266517445184,0.338266517445184,68.25790486909692
delta_points_against_pre8,0.0033703368177825806,0.33703368177825804,68.59493855087517
delta_opp_3d_att_season_avg,0.003366121597442008,0.3366121597442008,68.93155071061938
delta_plays_ema8,0.0033290833865764345,0.33290833865764347,69.26445904927702
delta_sacks_allowed_vol8,0.0033287142652944275,0.33287142652944274,69.59733047580646
